Kun,Slot,Sana,Hafta kuni,Kategoriya,Mavzu,Daraja,Nega muhim,Ishonchli manba,E'lon vaqti,Muqova g'oyasi,CTA taklifi
283,0,10-Oktabr,Shanba,Kitaba Shabloni,Rasmiy xat kirish qismi qolipi,A2,Tayyor qolip bilan yozma ishni tezroq va yuqori ballga yozish mumkin.,Bog'lovchi so'zlar to'plami,08:00,"Qalam+qog'oz motivi, bog'lovchi so'z markazda katta harflarda, misol jumla pastda",Bugungi mavzuda mini-insho yozing va izohga tashlang.
283,1,10-Oktabr,Shanba,Imtihon Strategiyasi,Eng ko'p uchraydigan grammatik xato: fe'l-egalik moslashuvi,B1,To'g'ri strategiya bilim darajasidan qat'i nazar ballni sezilarli oshiradi.,Tajribali metodistlar tavsiyasi,19:30,"Soat/checklist motivi, bitta aniq layfhak sarlavhada katta harflarda",Ushbu maslahatni saqlab qo'ying — imtihon oldidan qayta o'qing.
284,0,11-Oktabr,Yakshanba,Fusha-Ammiya,"Uy: بيت (barcha lahjalarda umumiy, talaffuz farqi)",A1,"Real hayotda (filmlar, suhbat) Fusha yetarli emas — lahjalarni tanish tushunishni osonlashtiradi.",Tilshunoslik manbalari,08:00,"Bir so'z, 3-4 mamlakat bayrog'i ostida turli yozilishda (qiyosiy jadval uslubida)",Qaysi lahja sizga eng qiziq tuyuladi? Izohda ayting.
284,1,11-Oktabr,Yakshanba,Kino-Qoshiq Tahlili,Filmdagi imo-ishora va tana tili orqali ma'noni taxmin qilish,A2,"Jonli, tabiiy tilni eshitib-ko'rib o'rganish yodlashni his-tuyg'u bilan bog'laydi.",Ommaviy arab multfilmlari/seriallari (umumiy uslub tahlili),19:30,"Ekran/parda motivi + subtitr chizig'i, pastda kalit ibora ajratib ko'rsatilgan",Shu janrdagi filmni tomosha qilganmisiz? Ulashing.
285,0,12-Oktabr,Dushanba,Kunlik Ibora,بالتوفيق — omad tilayman,A1,"Yangi so'z eng yaxshi tirik jumla ichida, real vaziyatda esda qoladi.",Hans Wehr lug'ati,08:00,"So'z/ibora nafis arab kalligrafiyasida + o'zbekcha tarjima, kontekst jumlasi bilan",Bugun shu iborani bitta jumlada ishlat va izohda yoz.
285,1,12-Oktabr,Dushanba,Sinonim-Antonim,سهل (oson) — sinonim: بسيط (sodda) / antonim: صعب (qiyin),A1,So'zni juftlikda (o'xshash/qarama-qarshi) o'rganish lug'at boyligini tezroq oshiradi.,Klassik arab lug'atlari,19:30,Ikki so'z yonma-yon (yashil=sinonim yoki qizil=antonim belgisi) + arab maqoli qismi,Shu ikki so'zdan o'zingiz bitta jumla tuzing.
286,0,13-Oktabr,Seshanba,Tarjima Mashqi,1) - Онанг нонушта тайёрлаяптими?  2) - Даданг бугун ишлаяптими?,A1,"Haqiqiy, tayyor manbadagi gapni tizimli, ketma-ket tarjima qilish — kursdek izchil o'sishni ta'minlaydi.",Nuriddin — «Arab tiliga tarjima qilish uchun mavzulashtirilgan gaplar» (tahrir: Usmon Mahmudov),08:00,"Qo'lyozma daftar sahifasi motivi, gap raqami va tarjima strelkasi (UZ -> AR)","Shu gaplarni o'zingiz arabchaga tarjima qilib ko'ring, keyin izohdagi javob bilan solishtiring."
286,1,13-Oktabr,Seshanba,Kitaba Shabloni,Rasmiy xat yakunlovchi qolipi (تفضلوا بقبول فائق الاحترام),B1,Tayyor qolip bilan yozma ishni tezroq va yuqori ballga yozish mumkin.,CEFR yozma imtihon namunalari,19:30,"Qalam+qog'oz motivi, bog'lovchi so'z markazda katta harflarda, misol jumla pastda","Shu qolipdan foydalanib 2-3 jumla yozing, men tekshirib beraman."
287,0,14-Oktabr,Chorshanba,Imtihon Strategiyasi,Eng ko'p uchraydigan xato: تنوين (tanvin) qo'llash,B1,To'g'ri strategiya bilim darajasidan qat'i nazar ballni sezilarli oshiradi.,CEFR rasmiy namuna testlari,08:00,"Soat/checklist motivi, bitta aniq layfhak sarlavhada katta harflarda","Sizda qanday imtihon xatolari bo'lgan? Ulashing, birga tahlil qilamiz."
287,1,14-Oktabr,Chorshanba,Fusha-Ammiya,Hozir: الآن (Fusha) / دلوقتي (Misr) / هلق (Shom) / الحين (Xalij),A2,"Real hayotda (filmlar, suhbat) Fusha yetarli emas — lahjalarni tanish tushunishni osonlashtiradi.",Qiyosiy lahja lug'atlari,19:30,"Bir so'z, 3-4 mamlakat bayrog'i ostida turli yozilishda (qiyosiy jadval uslubida)",Qaysi mamlakat filmini/serialini ko'p tomosha qilasiz? Yozing.
288,0,15-Oktabr,Payshanba,Kino-Qoshiq Tahlili,Serial syujetini 3 jumlada qayta hikoya qilish mashqi,B1,"Jonli, tabiiy tilni eshitib-ko'rib o'rganish yodlashni his-tuyg'u bilan bog'laydi.",Mashhur arab qo'shiqlari matni uslubi,08:00,"Ekran/parda motivi + subtitr chizig'i, pastda kalit ibora ajratib ko'rsatilgan",Yoqtirgan arabcha qo'shiqni/filmni izohda tavsiya qiling.
288,1,15-Oktabr,Payshanba,Kunlik Ibora,"خذ راحتك — o'zingni erkin his qil, shoshilma",A2,"Yangi so'z eng yaxshi tirik jumla ichida, real vaziyatda esda qoladi.",Klassik/MSA manbalari,19:30,"So'z/ibora nafis arab kalligrafiyasida + o'zbekcha tarjima, kontekst jumlasi bilan",Shu iborani bilarmidingiz? Izohda o'z misolingizni qoldiring.
289,0,16-Oktabr,Juma,Sinonim-Antonim,غني (boy) — sinonim: ثري / antonim: فقير (kambag'al),A2,So'zni juftlikda (o'xshash/qarama-qarshi) o'rganish lug'at boyligini tezroq oshiradi.,Zamonaviy MSA matnlar,08:00,Ikki so'z yonma-yon (yashil=sinonim yoki qizil=antonim belgisi) + arab maqoli qismi,Bu maqolga o'xshash o'zbekcha maqolni izohda yozing.
289,1,16-Oktabr,Juma,Tarjima Mashqi,"1) - Йўқ, у уйда.  2) - Опанг нима қилаяпти?",A1,"Haqiqiy, tayyor manbadagi gapni tizimli, ketma-ket tarjima qilish — kursdek izchil o'sishni ta'minlaydi.",Nuriddin — «Arab tiliga tarjima qilish uchun mavzulashtirilgan gaplar» (tahrir: Usmon Mahmudov),19:30,"Qo'lyozma daftar sahifasi motivi, gap raqami va tarjima strelkasi (UZ -> AR)","Tarjimangizni izohda yozing — men tekshirib, xato bo'lsa tuzataman."
290,0,17-Oktabr,Shanba,Kitaba Shabloni,Shaxsiy tajriba haqida yozish qolipi (لقد مررت بتجربة...),A2,Tayyor qolip bilan yozma ishni tezroq va yuqori ballga yozish mumkin.,Akademik arab tili qo'llanmalari,08:00,"Qalam+qog'oz motivi, bog'lovchi so'z markazda katta harflarda, misol jumla pastda",Shu bog'lovchini o'zingizning gapingizda ishlating.
290,1,17-Oktabr,Shanba,Imtihon Strategiyasi,Vaqt boshqaruvi: qiyin savolni keyinga qoldirish taktikasi,A2,To'g'ri strategiya bilim darajasidan qat'i nazar ballni sezilarli oshiradi.,Til imtihonlari metodikasi,19:30,"Soat/checklist motivi, bitta aniq layfhak sarlavhada katta harflarda",Shu strategiyani keyingi mashqda sinab ko'ring.
291,0,18-Oktabr,Yakshanba,Fusha-Ammiya,Ish: عمل (Fusha) / شغل (barcha lahjalarda keng),A2,"Real hayotda (filmlar, suhbat) Fusha yetarli emas — lahjalarni tanish tushunishni osonlashtiradi.",Misr/Shom/Xalij tabiiy nutq namunalari,08:00,"Bir so'z, 3-4 mamlakat bayrog'i ostida turli yozilishda (qiyosiy jadval uslubida)",Shu so'zni o'z lahjangizda (bilsangiz) qanday aytilishini ulashing.
291,1,18-Oktabr,Yakshanba,Kino-Qoshiq Tahlili,"Qo'shiq refrenini yodlab, talaffuzni mashq qilish",A1,"Jonli, tabiiy tilni eshitib-ko'rib o'rganish yodlashni his-tuyg'u bilan bog'laydi.",Til o'rganish metodikasi,19:30,"Ekran/parda motivi + subtitr chizig'i, pastda kalit ibora ajratib ko'rsatilgan",Shu iborani eshitgan joyingizni eslaysizmi? Yozing.
292,0,19-Oktabr,Dushanba,Kunlik Ibora,كل عام وأنتم بخير — har yili yaxshilikda bo'ling (tabrik),A2,"Yangi so'z eng yaxshi tirik jumla ichida, real vaziyatda esda qoladi.",Tabiiy muloqot namunalari,08:00,"So'z/ibora nafis arab kalligrafiyasida + o'zbekcha tarjima, kontekst jumlasi bilan","Ovozli xabar tashlab, shu iborani 3 marta talaffuz qiling."
292,1,19-Oktabr,Dushanba,Sinonim-Antonim,"من جد وجد — kim harakat qilsa, topadi (maqol)",B1,So'zni juftlikda (o'xshash/qarama-qarshi) o'rganish lug'at boyligini tezroq oshiradi.,Arab maqollari to'plamlari,19:30,Ikki so'z yonma-yon (yashil=sinonim yoki qizil=antonim belgisi) + arab maqoli qismi,Qaysi so'zni ko'proq eshitgansiz? Izohda ayting.
293,0,20-Oktabr,Seshanba,Tarjima Mashqi,1) - У ҳовлини супураяпти.  2) - Нимага бу ерда турибсан?,A1,"Haqiqiy, tayyor manbadagi gapni tizimli, ketma-ket tarjima qilish — kursdek izchil o'sishni ta'minlaydi.",Nuriddin — «Arab tiliga tarjima qilish uchun mavzulashtirilgan gaplar» (tahrir: Usmon Mahmudov),08:00,"Qo'lyozma daftar sahifasi motivi, gap raqami va tarjima strelkasi (UZ -> AR)",Shu gapni ovozli xabar qilib arabcha o'qib bering.
293,1,20-Oktabr,Seshanba,Kitaba Shabloni,O'z fikringni asoslash qolipi (أعتقد ذلك لأن...),B1,Tayyor qolip bilan yozma ishni tezroq va yuqori ballga yozish mumkin.,Bog'lovchi so'zlar to'plami,19:30,"Qalam+qog'oz motivi, bog'lovchi so'z markazda katta harflarda, misol jumla pastda",Bugungi mavzuda mini-insho yozing va izohga tashlang.
294,0,21-Oktabr,Chorshanba,Imtihon Strategiyasi,Variantli savollarda 'eliminatsiya' usuli,A2,To'g'ri strategiya bilim darajasidan qat'i nazar ballni sezilarli oshiradi.,Tajribali metodistlar tavsiyasi,08:00,"Soat/checklist motivi, bitta aniq layfhak sarlavhada katta harflarda",Ushbu maslahatni saqlab qo'ying — imtihon oldidan qayta o'qing.
294,1,21-Oktabr,Chorshanba,Fusha-Ammiya,Nega: لماذا (Fusha) / ليه (Misr/Shom) / ليش (Xalij),A2,"Real hayotda (filmlar, suhbat) Fusha yetarli emas — lahjalarni tanish tushunishni osonlashtiradi.",Tilshunoslik manbalari,19:30,"Bir so'z, 3-4 mamlakat bayrog'i ostida turli yozilishda (qiyosiy jadval uslubida)",Qaysi lahja sizga eng qiziq tuyuladi? Izohda ayting.
295,0,22-Oktabr,Payshanba,Kino-Qoshiq Tahlili,Multfilmdagi maslahat/nasihat gaplarini ajratib olish,A2,"Jonli, tabiiy tilni eshitib-ko'rib o'rganish yodlashni his-tuyg'u bilan bog'laydi.",Ommaviy arab multfilmlari/seriallari (umumiy uslub tahlili),08:00,"Ekran/parda motivi + subtitr chizig'i, pastda kalit ibora ajratib ko'rsatilgan",Shu janrdagi filmni tomosha qilganmisiz? Ulashing.
295,1,22-Oktabr,Payshanba,Kunlik Ibora,حياك الله — xush kelibsiz (Alloh senga hayot bersin),A1,"Yangi so'z eng yaxshi tirik jumla ichida, real vaziyatda esda qoladi.",Hans Wehr lug'ati,19:30,"So'z/ibora nafis arab kalligrafiyasida + o'zbekcha tarjima, kontekst jumlasi bilan",Bugun shu iborani bitta jumlada ishlat va izohda yoz.
296,0,23-Oktabr,Juma,Sinonim-Antonim,مبكر (erta) — sinonim: باكر / antonim: متأخر (kech),A2,So'zni juftlikda (o'xshash/qarama-qarshi) o'rganish lug'at boyligini tezroq oshiradi.,Klassik arab lug'atlari,08:00,Ikki so'z yonma-yon (yashil=sinonim yoki qizil=antonim belgisi) + arab maqoli qismi,Shu ikki so'zdan o'zingiz bitta jumla tuzing.
296,1,23-Oktabr,Juma,Tarjima Mashqi,1) - Мен дўстимни кутаяпман.  2) - Ўқувчилар нима қилишаяпти?,A1,"Haqiqiy, tayyor manbadagi gapni tizimli, ketma-ket tarjima qilish — kursdek izchil o'sishni ta'minlaydi.",Nuriddin — «Arab tiliga tarjima qilish uchun mavzulashtirilgan gaplar» (tahrir: Usmon Mahmudov),19:30,"Qo'lyozma daftar sahifasi motivi, gap raqami va tarjima strelkasi (UZ -> AR)","Shu gaplarni o'zingiz arabchaga tarjima qilib ko'ring, keyin izohdagi javob bilan solishtiring."
297,0,24-Oktabr,Shanba,Kitaba Shabloni,Kelajak reja haqida yozish (أخطط لـ / أنوي أن),A2,Tayyor qolip bilan yozma ishni tezroq va yuqori ballga yozish mumkin.,CEFR yozma imtihon namunalari,08:00,"Qalam+qog'oz motivi, bog'lovchi so'z markazda katta harflarda, misol jumla pastda","Shu qolipdan foydalanib 2-3 jumla yozing, men tekshirib beraman."
297,1,24-Oktabr,Shanba,Imtihon Strategiyasi,Imtihondan oldingi kechada nima qilish kerak emas,A1,To'g'ri strategiya bilim darajasidan qat'i nazar ballni sezilarli oshiradi.,CEFR rasmiy namuna testlari,19:30,"Soat/checklist motivi, bitta aniq layfhak sarlavhada katta harflarda","Sizda qanday imtihon xatolari bo'lgan? Ulashing, birga tahlil qilamiz."
298,0,25-Oktabr,Yakshanba,Fusha-Ammiya,Qancha turadi: كم السعر (Fusha) / بكام (Misr) / قديش (Shom) / كم (Xalij),A2,"Real hayotda (filmlar, suhbat) Fusha yetarli emas — lahjalarni tanish tushunishni osonlashtiradi.",Qiyosiy lahja lug'atlari,08:00,"Bir so'z, 3-4 mamlakat bayrog'i ostida turli yozilishda (qiyosiy jadval uslubida)",Qaysi mamlakat filmini/serialini ko'p tomosha qilasiz? Yozing.
298,1,25-Oktabr,Yakshanba,Kino-Qoshiq Tahlili,Filmda tez-tez uchraydigan kundalik idiomalar,B1,"Jonli, tabiiy tilni eshitib-ko'rib o'rganish yodlashni his-tuyg'u bilan bog'laydi.",Mashhur arab qo'shiqlari matni uslubi,19:30,"Ekran/parda motivi + subtitr chizig'i, pastda kalit ibora ajratib ko'rsatilgan",Yoqtirgan arabcha qo'shiqni/filmni izohda tavsiya qiling.
299,0,26-Oktabr,Dushanba,Kunlik Ibora,إن شاء الله خير — Alloh xohlasa yaxshilik bo'ladi (tasalli),A2,"Yangi so'z eng yaxshi tirik jumla ichida, real vaziyatda esda qoladi.",Klassik/MSA manbalari,08:00,"So'z/ibora nafis arab kalligrafiyasida + o'zbekcha tarjima, kontekst jumlasi bilan",Shu iborani bilarmidingiz? Izohda o'z misolingizni qoldiring.
299,1,26-Oktabr,Dushanba,Sinonim-Antonim,واضح (aniq) — sinonim: بيّن / antonim: غامض (noaniq),B1,So'zni juftlikda (o'xshash/qarama-qarshi) o'rganish lug'at boyligini tezroq oshiradi.,Zamonaviy MSA matnlar,19:30,Ikki so'z yonma-yon (yashil=sinonim yoki qizil=antonim belgisi) + arab maqoli qismi,Bu maqolga o'xshash o'zbekcha maqolni izohda yozing.
300,0,27-Oktabr,Seshanba,Tarjima Mashqi,1) - Улар диктант ёзишаяпти.  2) Ёмғир ёғаяпти.,A1,"Haqiqiy, tayyor manbadagi gapni tizimli, ketma-ket tarjima qilish — kursdek izchil o'sishni ta'minlaydi.",Nuriddin — «Arab tiliga tarjima qilish uchun mavzulashtirilgan gaplar» (tahrir: Usmon Mahmudov),08:00,"Qo'lyozma daftar sahifasi motivi, gap raqami va tarjima strelkasi (UZ -> AR)","Tarjimangizni izohda yozing — men tekshirib, xato bo'lsa tuzataman."
300,1,27-Oktabr,Seshanba,Kitaba Shabloni,Taklif berish qolipi (أقترح أن / من الأفضل أن),B1,Tayyor qolip bilan yozma ishni tezroq va yuqori ballga yozish mumkin.,Akademik arab tili qo'llanmalari,19:30,"Qalam+qog'oz motivi, bog'lovchi so'z markazda katta harflarda, misol jumla pastda",Shu bog'lovchini o'zingizning gapingizda ishlating.
301,0,28-Oktabr,Chorshanba,Imtihon Strategiyasi,Stress bilan ishlash: chuqur nafas texnikasi imtihon oldidan,A1,To'g'ri strategiya bilim darajasidan qat'i nazar ballni sezilarli oshiradi.,Til imtihonlari metodikasi,08:00,"Soat/checklist motivi, bitta aniq layfhak sarlavhada katta harflarda",Shu strategiyani keyingi mashqda sinab ko'ring.
301,1,28-Oktabr,Chorshanba,Fusha-Ammiya,Kel bu yoqqa: تعال هنا (Fusha) / تعالى هنا (Misr) / تعا لهون (Shom),B1,"Real hayotda (filmlar, suhbat) Fusha yetarli emas — lahjalarni tanish tushunishni osonlashtiradi.",Misr/Shom/Xalij tabiiy nutq namunalari,19:30,"Bir so'z, 3-4 mamlakat bayrog'i ostida turli yozilishda (qiyosiy jadval uslubida)",Shu so'zni o'z lahjangizda (bilsangiz) qanday aytilishini ulashing.
302,0,29-Oktabr,Payshanba,Kino-Qoshiq Tahlili,Qo'shiqdagi vaqt shakllarini (o'tgan/hozirgi) kuzatish mashqi,B1,"Jonli, tabiiy tilni eshitib-ko'rib o'rganish yodlashni his-tuyg'u bilan bog'laydi.",Til o'rganish metodikasi,08:00,"Ekran/parda motivi + subtitr chizig'i, pastda kalit ibora ajratib ko'rsatilgan",Shu iborani eshitgan joyingizni eslaysizmi? Yozing.
302,1,29-Oktabr,Payshanba,Kunlik Ibora,بدون تردد — ikkilanmasdan,B1,"Yangi so'z eng yaxshi tirik jumla ichida, real vaziyatda esda qoladi.",Tabiiy muloqot namunalari,19:30,"So'z/ibora nafis arab kalligrafiyasida + o'zbekcha tarjima, kontekst jumlasi bilan","Ovozli xabar tashlab, shu iborani 3 marta talaffuz qiling."
303,0,30-Oktabr,Juma,Sinonim-Antonim,العقل السليم في الجسم السليم — sog'lom tanda sog'lom aql (maqol),B1,So'zni juftlikda (o'xshash/qarama-qarshi) o'rganish lug'at boyligini tezroq oshiradi.,Arab maqollari to'plamlari,08:00,Ikki so'z yonma-yon (yashil=sinonim yoki qizil=antonim belgisi) + arab maqoli qismi,Qaysi so'zni ko'proq eshitgansiz? Izohda ayting.
303,1,30-Oktabr,Juma,Tarjima Mashqi,1) Нимага плашингни киймаяпсан?  2) - У ўғил қаерга кетаяпти?,A1,"Haqiqiy, tayyor manbadagi gapni tizimli, ketma-ket tarjima qilish — kursdek izchil o'sishni ta'minlaydi.",Nuriddin — «Arab tiliga tarjima qilish uchun mavzulashtirilgan gaplar» (tahrir: Usmon Mahmudov),19:30,"Qo'lyozma daftar sahifasi motivi, gap raqami va tarjima strelkasi (UZ -> AR)",Shu gapni ovozli xabar qilib arabcha o'qib bering.
304,0,31-Oktabr,Shanba,Kitaba Shabloni,Shart gaplarda yozma qolip (إذا... فإن...),B1,Tayyor qolip bilan yozma ishni tezroq va yuqori ballga yozish mumkin.,Bog'lovchi so'zlar to'plami,08:00,"Qalam+qog'oz motivi, bog'lovchi so'z markazda katta harflarda, misol jumla pastda",Bugungi mavzuda mini-insho yozing va izohga tashlang.
304,1,31-Oktabr,Shanba,Imtihon Strategiyasi,Yozma qismda qayta o'qish (proofreading) checklisti,B1,To'g'ri strategiya bilim darajasidan qat'i nazar ballni sezilarli oshiradi.,Tajribali metodistlar tavsiyasi,19:30,"Soat/checklist motivi, bitta aniq layfhak sarlavhada katta harflarda",Ushbu maslahatni saqlab qo'ying — imtihon oldidan qayta o'qing.
305,0,1-Noyabr,Yakshanba,Fusha-Ammiya,Misr ammiyasi: filmlarda eng ko'p ishlatiladigan salomlashish iboralari,B1,"Real hayotda (filmlar, suhbat) Fusha yetarli emas — lahjalarni tanish tushunishni osonlashtiradi.",Tilshunoslik manbalari,08:00,"Bir so'z, 3-4 mamlakat bayrog'i ostida turli yozilishda (qiyosiy jadval uslubida)",Qaysi lahja sizga eng qiziq tuyuladi? Izohda ayting.
305,1,1-Noyabr,Yakshanba,Kino-Qoshiq Tahlili,Bolalar seriali orqali oddiy buyruq gaplarni o'rganish,A1,"Jonli, tabiiy tilni eshitib-ko'rib o'rganish yodlashni his-tuyg'u bilan bog'laydi.",Ommaviy arab multfilmlari/seriallari (umumiy uslub tahlili),19:30,"Ekran/parda motivi + subtitr chizig'i, pastda kalit ibora ajratib ko'rsatilgan",Shu janrdagi filmni tomosha qilganmisiz? Ulashing.
306,0,2-Noyabr,Dushanba,Kunlik Ibora,في أقرب وقت ممكن — imkon qadar tezroq,B1,"Yangi so'z eng yaxshi tirik jumla ichida, real vaziyatda esda qoladi.",Hans Wehr lug'ati,08:00,"So'z/ibora nafis arab kalligrafiyasida + o'zbekcha tarjima, kontekst jumlasi bilan",Bugun shu iborani bitta jumlada ishlat va izohda yoz.
306,1,2-Noyabr,Dushanba,Sinonim-Antonim,مهم (muhim) — sinonim: ضروري (zarur) / antonim: تافه (ahamiyatsiz),A2,So'zni juftlikda (o'xshash/qarama-qarshi) o'rganish lug'at boyligini tezroq oshiradi.,Klassik arab lug'atlari,19:30,Ikki so'z yonma-yon (yashil=sinonim yoki qizil=antonim belgisi) + arab maqoli qismi,Shu ikki so'zdan o'zingiz bitta jumla tuzing.
307,0,3-Noyabr,Seshanba,Tarjima Mashqi,1) - У дўконга кетаяпти.  2) - Сенинг аканг дарсларини қилаяптими?,A1,"Haqiqiy, tayyor manbadagi gapni tizimli, ketma-ket tarjima qilish — kursdek izchil o'sishni ta'minlaydi.",Nuriddin — «Arab tiliga tarjima qilish uchun mavzulashtirilgan gaplar» (tahrir: Usmon Mahmudov),08:00,"Qo'lyozma daftar sahifasi motivi, gap raqami va tarjima strelkasi (UZ -> AR)","Shu gaplarni o'zingiz arabchaga tarjima qilib ko'ring, keyin izohdagi javob bilan solishtiring."
307,1,3-Noyabr,Seshanba,Kitaba Shabloni,Insho kirish jumlasi qolipi (umumiy mavzudan xususiyga),B1,Tayyor qolip bilan yozma ishni tezroq va yuqori ballga yozish mumkin.,CEFR yozma imtihon namunalari,19:30,"Qalam+qog'oz motivi, bog'lovchi so'z markazda katta harflarda, misol jumla pastda","Shu qolipdan foydalanib 2-3 jumla yozing, men tekshirib beraman."
308,0,4-Noyabr,Chorshanba,Imtihon Strategiyasi,Og'zaki qismda ko'z bilan aloqa va ishonch tuyg'usi,A2,To'g'ri strategiya bilim darajasidan qat'i nazar ballni sezilarli oshiradi.,CEFR rasmiy namuna testlari,08:00,"Soat/checklist motivi, bitta aniq layfhak sarlavhada katta harflarda","Sizda qanday imtihon xatolari bo'lgan? Ulashing, birga tahlil qilamiz."
308,1,4-Noyabr,Chorshanba,Fusha-Ammiya,Shom (Levant) ammiyasi: Suriya/Livan/Iordaniya nutqidagi umumiy jihatlar,B1,"Real hayotda (filmlar, suhbat) Fusha yetarli emas — lahjalarni tanish tushunishni osonlashtiradi.",Qiyosiy lahja lug'atlari,19:30,"Bir so'z, 3-4 mamlakat bayrog'i ostida turli yozilishda (qiyosiy jadval uslubida)",Qaysi mamlakat filmini/serialini ko'p tomosha qilasiz? Yozing.
309,0,5-Noyabr,Payshanba,Kino-Qoshiq Tahlili,Film sahnasidagi kayfiyatga qarab ohang o'zgarishini tinglash,A2,"Jonli, tabiiy tilni eshitib-ko'rib o'rganish yodlashni his-tuyg'u bilan bog'laydi.",Mashhur arab qo'shiqlari matni uslubi,08:00,"Ekran/parda motivi + subtitr chizig'i, pastda kalit ibora ajratib ko'rsatilgan",Yoqtirgan arabcha qo'shiqni/filmni izohda tavsiya qiling.
309,1,5-Noyabr,Payshanba,Kunlik Ibora,لك مني كل التقدير — sizga mendan chuqur hurmat,B1,"Yangi so'z eng yaxshi tirik jumla ichida, real vaziyatda esda qoladi.",Klassik/MSA manbalari,19:30,"So'z/ibora nafis arab kalligrafiyasida + o'zbekcha tarjima, kontekst jumlasi bilan",Shu iborani bilarmidingiz? Izohda o'z misolingizni qoldiring.
310,0,6-Noyabr,Juma,Sinonim-Antonim,هادئ (tinch) — sinonim: ساكن / antonim: صاخب (shovqinli),B1,So'zni juftlikda (o'xshash/qarama-qarshi) o'rganish lug'at boyligini tezroq oshiradi.,Zamonaviy MSA matnlar,08:00,Ikki so'z yonma-yon (yashil=sinonim yoki qizil=antonim belgisi) + arab maqoli qismi,Bu maqolga o'xshash o'zbekcha maqolni izohda yozing.
310,1,6-Noyabr,Juma,Tarjima Mashqi,"1) - Йўқ, у китоб ўқияпти.  2) Қара, анави ерда Сюзан бор!",A1,"Haqiqiy, tayyor manbadagi gapni tizimli, ketma-ket tarjima qilish — kursdek izchil o'sishni ta'minlaydi.",Nuriddin — «Arab tiliga tarjima qilish uchun mavzulashtirilgan gaplar» (tahrir: Usmon Mahmudov),19:30,"Qo'lyozma daftar sahifasi motivi, gap raqami va tarjima strelkasi (UZ -> AR)","Tarjimangizni izohda yozing — men tekshirib, xato bo'lsa tuzataman."
311,0,7-Noyabr,Shanba,Kitaba Shabloni,Vaqt ketma-ketligi so'zlari: أولاً، ثانيًا، أخيرًا,A2,Tayyor qolip bilan yozma ishni tezroq va yuqori ballga yozish mumkin.,Akademik arab tili qo'llanmalari,08:00,"Qalam+qog'oz motivi, bog'lovchi so'z markazda katta harflarda, misol jumla pastda",Shu bog'lovchini o'zingizning gapingizda ishlating.
311,1,7-Noyabr,Shanba,Imtihon Strategiyasi,Grammatik vaqtlarni aralashtirmaslik nazorati,B1,To'g'ri strategiya bilim darajasidan qat'i nazar ballni sezilarli oshiradi.,Til imtihonlari metodikasi,19:30,"Soat/checklist motivi, bitta aniq layfhak sarlavhada katta harflarda",Shu strategiyani keyingi mashqda sinab ko'ring.
312,0,8-Noyabr,Yakshanba,Fusha-Ammiya,Xalij ammiyasi: Saudiya/BAA nutqida ingliz/fors ta'siri,B1,"Real hayotda (filmlar, suhbat) Fusha yetarli emas — lahjalarni tanish tushunishni osonlashtiradi.",Misr/Shom/Xalij tabiiy nutq namunalari,08:00,"Bir so'z, 3-4 mamlakat bayrog'i ostida turli yozilishda (qiyosiy jadval uslubida)",Shu so'zni o'z lahjangizda (bilsangiz) qanday aytilishini ulashing.
312,1,8-Noyabr,Yakshanba,Kino-Qoshiq Tahlili,Qo'shiq matnida sinonim so'zlarni topish mashqi,B1,"Jonli, tabiiy tilni eshitib-ko'rib o'rganish yodlashni his-tuyg'u bilan bog'laydi.",Til o'rganish metodikasi,19:30,"Ekran/parda motivi + subtitr chizig'i, pastda kalit ibora ajratib ko'rsatilgan",Shu iborani eshitgan joyingizni eslaysizmi? Yozing.
313,0,9-Noyabr,Dushanba,Kunlik Ibora,"لا مانع عندي — men uchun to'siq yo'q, roziman",A2,"Yangi so'z eng yaxshi tirik jumla ichida, real vaziyatda esda qoladi.",Tabiiy muloqot namunalari,08:00,"So'z/ibora nafis arab kalligrafiyasida + o'zbekcha tarjima, kontekst jumlasi bilan","Ovozli xabar tashlab, shu iborani 3 marta talaffuz qiling."
313,1,9-Noyabr,Dushanba,Sinonim-Antonim,درهم وقاية خير من قنطار علاج — ehtiyot chorasi davodan afzal (maqol),B1,So'zni juftlikda (o'xshash/qarama-qarshi) o'rganish lug'at boyligini tezroq oshiradi.,Arab maqollari to'plamlari,19:30,Ikki so'z yonma-yon (yashil=sinonim yoki qizil=antonim belgisi) + arab maqoli qismi,Qaysi so'zni ko'proq eshitgansiz? Izohda ayting.
314,0,10-Noyabr,Seshanba,Tarjima Mashqi,1) У нима қилаяпти?  2) - Сен ўзингни яхши ҳис қилаяпсанми?,A1,"Haqiqiy, tayyor manbadagi gapni tizimli, ketma-ket tarjima qilish — kursdek izchil o'sishni ta'minlaydi.",Nuriddin — «Arab tiliga tarjima qilish uchun mavzulashtirilgan gaplar» (tahrir: Usmon Mahmudov),08:00,"Qo'lyozma daftar sahifasi motivi, gap raqami va tarjima strelkasi (UZ -> AR)",Shu gapni ovozli xabar qilib arabcha o'qib bering.
