Kun,Sana,Hafta,Oy mavzusi,Haftalik mavzu,Chorak maqsadi,Kategoriya,Mavzu,Nega muhim,Ishonchli manba,E'lon vaqti,Muqova g'oyasi,Daraja,O'qish vaqti,CTA taklifi
209,28-Iyul,30,Ijod va texnologiya,Ijod va texnologiya · Mahorat,Q3,Technology Box,Digital minimalism,Hayot va karyera uchun muhim texnologiya hamda ko'nikmani tushuntiradi.,Rasmiy mahsulot hujjatlari,08:00,"Toza kontur uslubidagi mikrosxema/qurilma, vazmin va zamonaviy",O'rta,1 daq,Bugun shu vositani 10 daqiqa sinab ko'r.
210,29-Iyul,30,Ijod va texnologiya,Ijod va texnologiya · Mustahkamlash,Q3,Success Stories,James Dyson — 5126 prototip,Real hikoyadan qiyinchilikni yengish va amaliy saboq beradi (mif emas).,Tekshirilgan biografiyalar,08:00,"Minimal portret silueti yoki cho'qqi motivi, iliq va ilhomli premium",O'rta,1–2 daq,Shu hikoyadan bitta saboq olib bugun qo'lla.
211,30-Iyul,31,Ijod va texnologiya,Ijod va texnologiya · Mustahkamlash,Q3,Decision Making,'Yo'q' — ham qaror,Noaniqlikda yaxshiroq va aniqroq qaror qabul qilishga yordam beradi.,Kahneman,07:30,"Minimal chorraha/ayri yo'l yoki tarozi motivi, aniq va muvozanatli",Murakkab,1 daq,Bugungi qarorni 'eng yomon holatda nima bo'ladi?' bilan ko'r.
212,31-Iyul,31,Ijod va texnologiya,Ijod va texnologiya · Mustahkamlash,Q3,Islamic Wisdom,Tavakkul — harakat va ishonch,"Hayotga ma'no, axloq va ichki muvozanat baxsh etadi.",Qur'on va sahih hadis (to'g'ri nisbat),07:00,"Minimal geometrik/arabeska naqsh, sokin yer ranglari (tasvirsiz)",Boshlang'ich,1 daq,Bugun shu amalni bir marta niyat bilan bajar.
213,1-Avgust,31,Liderlik va jamoa,Liderlik va jamoa · Asoslar,Q3,Life Lessons,Yo'qotishdan o'rganish,Hayotni yaxshiroq yashashga yordam beradigan asosli donolik beradi.,Stoik falsafa,08:00,"Minimal tabiat/yo'l/ufq motivi, yumshoq mushohadali ranglar",Boshlang'ich,1 daq,Bugun shu fikr bilan bir lahza to'xtab o'yla.
214,2-Avgust,31,Liderlik va jamoa,Liderlik va jamoa · Asoslar,Q3,Book Box,"Essentialism — kamroq, lekin yaxshiroq",Yillar davomida shakllangan kitob g'oyasini 1 daqiqada o'zlashtiradi.,Asl kitob + muallif intervyulari,07:00,"Minimal ochiq kitob yoki kitob qirrasi, sokin gradient, bitta g'oya-ibora",O'rta,1–2 daq,Bugun shu g'oyani bitta qaroringda sinab ko'r.
215,3-Avgust,31,Liderlik va jamoa,Liderlik va jamoa · Asoslar,Q3,History Box,Mansa Musa va boylik o'lchovi,Real tarixiy voqeadan bugun uchun amaliy saboq beradi.,Akademik tarix + birlamchi manbalar,08:00,"Vintage-toned minimal motiv (xarita, ustun, qadimiy hujjat), sepia aksent",O'rta,1–2 daq,Bugun shu saboqni o'z hayotingga qanday bog'laysan?
216,4-Avgust,31,Liderlik va jamoa,Liderlik va jamoa · Asoslar,Q3,Habits,Keystone — kalit odatlar,"Kichik, amaliy qadam bilan haqiqiy o'zgarishni boshlash mumkinligini ko'rsatadi.",Charles Duhigg,07:00,"Minimal zanjir/streak yoki o'sayotgan urug' motivi, sokin ranglar",Boshlang'ich,1 daq,Ertangi kun uchun bitta kichik odat belgila.
217,5-Avgust,31,Liderlik va jamoa,Liderlik va jamoa · Asoslar,Q3,Money Box,Tejash stavkasi nega hal qiluvchi,Pulni boshqarishda xotirjam nazorat va sog'lom mentalitet beradi.,Bogle / indeks asoslari,07:30,"Minimal tanga/banka yoki o'sish-egri chizig'i, vazmin tilla aksent",O'rta,1 daq,Daromadingning 1 foizini bugun chetga qo'y.
218,6-Avgust,32,Liderlik va jamoa,Liderlik va jamoa · Asoslar,Q3,English Box,'The ball is in your court',Har kuni bitta tabiiy ibora bilan ingliz tilini amaliy o'stiradi.,Merriam-Webster,07:00,"Toza tipografik karta — so'z katta yozilgan, ikki tilli minimal layout",Boshlang'ich,<1 daq,Eslab qolish uchun o'zing bitta gap tuz.
219,7-Avgust,32,Liderlik va jamoa,Liderlik va jamoa · Asoslar,Q3,Mind Box,Sunk cost — botgan xarajat tuzog'i,"O'z xulqini tushunib, ongli qaror qabul qilishga yordam beradi.",Tekshirilgan psixologiya tadqiqotlari,07:00,"Abstrakt miya yoki ikki-yo'l silueti, vazmin premium palitra",O'rta,1 daq,Keyingi safar buni o'zingda kuzat.
220,8-Avgust,32,Liderlik va jamoa,Liderlik va jamoa · Chuqurlashish,Q3,Productivity,Batching — o'xshash ishlarni guruhlash,Ko'p emas — muhim ishni fokus bilan bajarish yo'lini beradi.,Ali Abdaal,07:30,"Minimal fokus/soat yoki bitta-vazifa motivi, tinchlantiruvchi",O'rta,1 daq,Telefoningni 1 soat boshqa xonaga qo'y va ishla.
221,9-Avgust,32,Liderlik va jamoa,Liderlik va jamoa · Chuqurlashish,Q3,Business Box,Lean Startup tsikli,Biznes qurish va o'stirishning barqaror tamoyilini beradi.,Asoschilar memuarlari,07:30,"Toza geometrik framework diagrammasi yoki yuqoriga yo'l, korporativ-minimal",Murakkab,1–2 daq,Ushbu modelni o'z loyihangga moslab ko'r.
222,10-Avgust,32,Liderlik va jamoa,Liderlik va jamoa · Chuqurlashish,Q3,Interesting Facts,Hid xotirani eng kuchli uyg'otadi,Tasdiqlangan qiziq fakt bilan dunyoga yangi nazar beradi.,Universitet/ensiklopediya,08:00,"Faktning predmeti — bitta jasur, minimal vizual",Boshlang'ich,<1 daq,Bugun shu faktni bir kishiga aytib ber.
223,11-Avgust,32,Liderlik va jamoa,Liderlik va jamoa · Chuqurlashish,Q3,Marketing Box,Email marketing asoslari,Odamlar nega xarid qilishini — diqqat va ishontirish psixologiyasini ochadi.,Ogilvy / Seth Godin,07:30,"Magnit, ko'z yoki voronka motivi; jasur, lekin toza bitta aksent rang",O'rta,1 daq,Sarlavhangni 3 xil variantda sinab ko'r.
224,12-Avgust,32,Liderlik va jamoa,Liderlik va jamoa · Chuqurlashish,Q3,Arabic Box,So'z: عدل ('adl) — adolat,Har kuni bitta arabcha so'z bilan til va ma'no eshigini ochadi.,Klassik/MSA manbalari,07:00,"So'zning nafis arab kalligrafiyasi, sokin fon",Boshlang'ich,<1 daq,Shu iborani bilganmidingiz? Izohda yozing.
225,13-Avgust,33,Liderlik va jamoa,Liderlik va jamoa · Chuqurlashish,Q3,Mental Models,Via negativa — olib tashlash kuchi,Hayotning ko'p sohasida ishlaydigan qayta-qo'llanadigan tafakkur vositasi beradi.,Munger — latticework,07:30,"Minimal panjara/linza/tishli g'ildirak motivi, intellektual-premium",Murakkab,1 daq,Shu modelni qaysi muammoga qo'llaysan?
226,14-Avgust,33,Liderlik va jamoa,Liderlik va jamoa · Chuqurlashish,Q3,Communication Box,Ko'z bilan aloqa,"Gapirish, tinglash va ishontirishni yaxshilab, tushunilishni oson qiladi.",Chris Voss (negotiation),08:00,"Gap-bulutchasi yoki ovoz-to'lqini minimal motivi, iliq lekin toza",O'rta,1 daq,Bugun bir kishini gapini bo'lmasdan oxirigacha eshit.
227,15-Avgust,33,Liderlik va jamoa,Liderlik va jamoa · Amaliyot,Q3,AI Box,AI agentlar nima,"AI'ni amaliy va tushunarli qilib, bugun foydalanish yo'lini ko'rsatadi.",E'tiborli AI tadqiqotlari,08:00,"Minimal neyron/uchqun motivi, sovuq premium palitra (robot klishesiz)",O'rta,1 daq,Shu promptni bugun o'zingda sinab ko'r.
228,16-Avgust,33,Liderlik va jamoa,Liderlik va jamoa · Amaliyot,Q3,Leadership Box,Maqtov va e'tirof kuchi,Odamlarni boshqarish va kuchli jamoa qurish tamoyilini beradi.,Tasdiqlangan liderlik hikoyalari,07:30,"Minimal kompas, mayoq yoki guruh oldidagi siluet; kuchli va sokin",O'rta,1–2 daq,Bugun bitta qarorni jamoang bilan maslahatlash.
229,17-Avgust,33,Liderlik va jamoa,Liderlik va jamoa · Amaliyot,Q3,Critical Thinking,Steelman — kuchli qarshi dalil,"Fikrlashni o'tkirlashtirib, yomon dalillardan himoya qiladi.",Kognitiv fan,07:30,"Lupa yoki shoxlanuvchi-savol motivi, toza intellektual uslub",Murakkab,1 daq,Keyingi xabarni o'qiganda manbasini so'ra.
230,18-Avgust,33,Liderlik va jamoa,Liderlik va jamoa · Amaliyot,Q3,Technology Box,Privacy — ma'lumotlaringizni kim ko'radi,Hayot va karyera uchun muhim texnologiya hamda ko'nikmani tushuntiradi.,Nufuzli texno-jurnalistika,08:00,"Toza kontur uslubidagi mikrosxema/qurilma, vazmin va zamonaviy",O'rta,1 daq,Keyingi 6 oyda o'rganmoqchi bo'lgan ko'nikmani yoz.
231,19-Avgust,33,Liderlik va jamoa,Liderlik va jamoa · Amaliyot,Q3,Success Stories,Airbnb — nonushta sotgan kunlar,Real hikoyadan qiyinchilikni yengish va amaliy saboq beradi (mif emas).,Rasmiy intervyular,08:00,"Minimal portret silueti yoki cho'qqi motivi, iliq va ilhomli premium",O'rta,1–2 daq,Sen qaysi qadamdan boshlaysan?
232,20-Avgust,34,Liderlik va jamoa,Liderlik va jamoa · Amaliyot,Q3,Decision Making,Ortiqcha tanlovni kamaytirish,Noaniqlikda yaxshiroq va aniqroq qaror qabul qilishga yordam beradi.,Annie Duke — Thinking in Bets,07:30,"Minimal chorraha/ayri yo'l yoki tarozi motivi, aniq va muvozanatli",Murakkab,1 daq,Qaroringni 10/10/10 qoidasi bilan sinab ko'r.
233,21-Avgust,34,Liderlik va jamoa,Liderlik va jamoa · Amaliyot,Q3,Islamic Wisdom,Ota-onaga yaxshilik,"Hayotga ma'no, axloq va ichki muvozanat baxsh etadi.",E'tirof etilgan ulamolar,07:00,"Minimal geometrik/arabeska naqsh, sokin yer ranglari (tasvirsiz)",Boshlang'ich,1 daq,Bugun bir kishiga chin ko'ngildan yaxshilik qil.
234,22-Avgust,34,Liderlik va jamoa,Liderlik va jamoa · Mahorat,Q3,Life Lessons,Sokinlikning kuchi,Hayotni yaxshiroq yashashga yordam beradigan asosli donolik beradi.,Hikmat adabiyoti,08:00,"Minimal tabiat/yo'l/ufq motivi, yumshoq mushohadali ranglar",Boshlang'ich,1 daq,Bugun bir kishidan kechirim so'ra yoki rahmat ayt.
235,23-Avgust,34,Liderlik va jamoa,Liderlik va jamoa · Mahorat,Q3,Book Box,The Almanack of Naval — boylik va baxt,Yillar davomida shakllangan kitob g'oyasini 1 daqiqada o'zlashtiradi.,Universitet konspektlari,07:00,"Minimal ochiq kitob yoki kitob qirrasi, sokin gradient, bitta g'oya-ibora",O'rta,1–2 daq,Ushbu kitobni o'qiganmisiz? Asosiy saboqni izohda yozing.
236,24-Avgust,34,Liderlik va jamoa,Liderlik va jamoa · Mahorat,Q3,Habits,Track qilish: kuzatuvning kuchi,"Kichik, amaliy qadam bilan haqiqiy o'zgarishni boshlash mumkinligini ko'rsatadi.",BJ Fogg (Stanford),07:00,"Minimal zanjir/streak yoki o'sayotgan urug' motivi, sokin ranglar",Boshlang'ich,1 daq,Shu odatni mavjud odatingga ulab qo'y.
237,25-Avgust,34,Liderlik va jamoa,Liderlik va jamoa · Mahorat,Q3,Money Box,Risk va daromad bog'liqligi,Pulni boshqarishda xotirjam nazorat va sog'lom mentalitet beradi.,Markaziy bank moliyaviy savod,07:30,"Minimal tanga/banka yoki o'sish-egri chizig'i, vazmin tilla aksent",O'rta,1 daq,Bu oygi bitta moliyaviy maqsadingni yozib qo'y.
238,26-Avgust,34,Liderlik va jamoa,Liderlik va jamoa · Mahorat,Q3,English Box,So'z: 'resilience' (matonatlilik),Har kuni bitta tabiiy ibora bilan ingliz tilini amaliy o'stiradi.,Ishonchli ESL manbalari,07:00,"Toza tipografik karta — so'z katta yozilgan, ikki tilli minimal layout",Boshlang'ich,<1 daq,Shu so'zni bugun ovoz chiqarib mashq qil.
239,27-Avgust,35,Liderlik va jamoa,Liderlik va jamoa · Mahorat,Q3,Mind Box,Paradox of choice — tanlov ko'pligi,"O'z xulqini tushunib, ongli qaror qabul qilishga yordam beradi.",Universitet psix. manbalari,07:00,"Abstrakt miya yoki ikki-yo'l silueti, vazmin premium palitra",O'rta,1 daq,Bugun bitta qaroringda bu xatoga e'tibor ber.
240,28-Avgust,35,Liderlik va jamoa,Liderlik va jamoa · Mahorat,Q3,Productivity,'Yo'q' deyish — mahsuldorlik vositasi,Ko'p emas — muhim ishni fokus bilan bajarish yo'lini beradi.,GTD (David Allen),07:30,"Minimal fokus/soat yoki bitta-vazifa motivi, tinchlantiruvchi",O'rta,1 daq,Bugun ertaga uchun 3 ta MIT (eng muhim ish) yoz.
241,29-Avgust,35,Liderlik va jamoa,Liderlik va jamoa · Mustahkamlash,Q3,Business Box,Niche — kichik bozordan boshlash,Biznes qurish va o'stirishning barqaror tamoyilini beradi.,Rasmiy kompaniya case-study'lari,07:30,"Toza geometrik framework diagrammasi yoki yuqoriga yo'l, korporativ-minimal",Murakkab,1–2 daq,Bugun bitta gipotezangni kichik test bilan tekshir.
242,30-Avgust,35,Liderlik va jamoa,Liderlik va jamoa · Mustahkamlash,Q3,Interesting Facts,DNK uzunligi tasavvurdan tashqari,Tasdiqlangan qiziq fakt bilan dunyoga yangi nazar beradi.,Birlamchi tadqiqot,08:00,"Faktning predmeti — bitta jasur, minimal vizual",Boshlang'ich,<1 daq,Shu hodisa ortidagi sababni o'ylab ko'r.
243,31-Avgust,35,Liderlik va jamoa,Liderlik va jamoa · Mustahkamlash,Q3,Marketing Box,Kontent marketing nega ishlaydi,Odamlar nega xarid qilishini — diqqat va ishontirish psixologiyasini ochadi.,Rasmiy brend case-study'lari,07:30,"Magnit, ko'z yoki voronka motivi; jasur, lekin toza bitta aksent rang",O'rta,1 daq,Bugun bitta mijozdan 'nega tanladingiz?' deb so'ra.
244,1-Sentabr,35,Ilm va intizom,Ilm va intizom · Asoslar,Q3,History Box 🎯 Mavsumiy,Mustaqillik: erk va mas'uliyat,Erkning haqiqiy ma'nosi — mas'uliyat va hissa qo'shish.,Universitet/muzey materiallari,08:00,"Vintage-toned minimal motiv (xarita, ustun, qadimiy hujjat), sepia aksent",O'rta,1–2 daq,Bugun o'z ishingda kichik bo'lsa-da bitta hissa qo'sh.
245,2-Sentabr,35,Ilm va intizom,Ilm va intizom · Asoslar,Q3,Arabic Box,So'z: قلب (qalb) — qalb,Har kuni bitta arabcha so'z bilan til va ma'no eshigini ochadi.,E'tirofli til resurslari,07:00,"So'zning nafis arab kalligrafiyasi, sokin fon",Boshlang'ich,<1 daq,Shu so'zni bugun bir jumlada eslab ko'r.
246,3-Sentabr,36,Ilm va intizom,Ilm va intizom · Asoslar,Q3,Mental Models,Lindy effekti,Hayotning ko'p sohasida ishlaydigan qayta-qo'llanadigan tafakkur vositasi beradi.,Modelning asl sohasi (fizika/biologiya...),07:30,"Minimal panjara/linza/tishli g'ildirak motivi, intellektual-premium",Murakkab,1 daq,Bugun shu nuqtai nazardan bitta masalaga qara.
247,4-Sentabr,36,Ilm va intizom,Ilm va intizom · Asoslar,Q3,Communication Box,Ohang va intonatsiya,"Gapirish, tinglash va ishontirishni yaxshilab, tushunilishni oson qiladi.",Ritorika klassikalari,08:00,"Gap-bulutchasi yoki ovoz-to'lqini minimal motivi, iliq lekin toza",O'rta,1 daq,Shu texnikani keyingi suhbatda sinab ko'r.
248,5-Sentabr,36,Ilm va intizom,Ilm va intizom · Asoslar,Q3,AI Box,Tarjima va til o'rganishda AI,"AI'ni amaliy va tushunarli qilib, bugun foydalanish yo'lini ko'rsatadi.",Universitet kurslari,08:00,"Minimal neyron/uchqun motivi, sovuq premium palitra (robot klishesiz)",O'rta,1 daq,Bugun AI bilan bitta g'oyani brainstorming qil.
249,6-Sentabr,36,Ilm va intizom,Ilm va intizom · Asoslar,Q3,Leadership Box,Jamoa madaniyatini qurish,Odamlarni boshqarish va kuchli jamoa qurish tamoyilini beradi.,Harbiy/sport/biznes case'lar,07:30,"Minimal kompas, mayoq yoki guruh oldidagi siluet; kuchli va sokin",O'rta,1–2 daq,Bugun bir mas'uliyatni ishonib topshir (delegatsiya).
250,7-Sentabr,36,Ilm va intizom,Ilm va intizom · Asoslar,Q3,Critical Thinking,Anekdot ≠ dalil,"Fikrlashni o'tkirlashtirib, yomon dalillardan himoya qiladi.",Farnam Street / falsafa asoslari,07:30,"Lupa yoki shoxlanuvchi-savol motivi, toza intellektual uslub",Murakkab,1 daq,Bugun bitta qarama-qarshi fikrni adolatli o'qib chiq.
251,8-Sentabr,36,Ilm va intizom,Ilm va intizom · Chuqurlashish,Q3,Technology Box,Avtomatlashtirish va robototexnika,Hayot va karyera uchun muhim texnologiya hamda ko'nikmani tushuntiradi.,Standart tashkilotlari,08:00,"Toza kontur uslubidagi mikrosxema/qurilma, vazmin va zamonaviy",O'rta,1 daq,Bugun bitta raqamli gigiena qadamini bajar.
252,9-Sentabr,36,Ilm va intizom,Ilm va intizom · Chuqurlashish,Q3,Success Stories,Stephen King — 'Carrie' axlatdan qaytgani,Real hikoyadan qiyinchilikni yengish va amaliy saboq beradi (mif emas).,E'tiborli jurnalistika,08:00,"Minimal portret silueti yoki cho'qqi motivi, iliq va ilhomli premium",O'rta,1–2 daq,Bugun bitta 'rad javob'dan qo'rqmasdan harakat qil.
253,10-Sentabr,37,Ilm va intizom,Ilm va intizom · Chuqurlashish,Q3,Decision Making,Bayes yangilanishi — yangi dalilda fikrni o'zgartirish,Noaniqlikda yaxshiroq va aniqroq qaror qabul qilishga yordam beradi.,Qaror fani (decision science),07:30,"Minimal chorraha/ayri yo'l yoki tarozi motivi, aniq va muvozanatli",Murakkab,1 daq,Bugun bitta kichik qarorni 24 soat sovutib ko'r.
254,11-Sentabr,37,Ilm va intizom,Ilm va intizom · Chuqurlashish,Q3,Islamic Wisdom,Tilni saqlash — so'z mas'uliyati,"Hayotga ma'no, axloq va ichki muvozanat baxsh etadi.",Klassik asarlar,07:00,"Minimal geometrik/arabeska naqsh, sokin yer ranglari (tasvirsiz)",Boshlang'ich,1 daq,Bugun shu fazilatni bitta ishda ko'rsat.
255,12-Sentabr,37,Ilm va intizom,Ilm va intizom · Chuqurlashish,Q3,Life Lessons,"Pul — vosita, maqsad emas",Hayotni yaxshiroq yashashga yordam beradigan asosli donolik beradi.,Umuminsoniy haqiqatlar,08:00,"Minimal tabiat/yo'l/ufq motivi, yumshoq mushohadali ranglar",Boshlang'ich,1 daq,Shu saboqni bugun bitta ishda yasha.
256,13-Sentabr,37,Ilm va intizom,Ilm va intizom · Chuqurlashish,Q3,Book Box,How to Win Friends — insonlarga samimiy ta'sir,Yillar davomida shakllangan kitob g'oyasini 1 daqiqada o'zlashtiradi.,Blinkist (tekshirilgan),07:00,"Minimal ochiq kitob yoki kitob qirrasi, sokin gradient, bitta g'oya-ibora",O'rta,1–2 daq,Shu fikrni bugun bir amalga aylantir.
257,14-Sentabr,37,Ilm va intizom,Ilm va intizom · Chuqurlashish,Q3,Habits,Niyat-ijro (implementation intention),"Kichik, amaliy qadam bilan haqiqiy o'zgarishni boshlash mumkinligini ko'rsatadi.",James Clear — Atomic Habits,07:00,"Minimal zanjir/streak yoki o'sayotgan urug' motivi, sokin ranglar",Boshlang'ich,1 daq,Bugun shu odatni 2 daqiqalik versiyada boshla.
258,15-Sentabr,37,Ilm va intizom,Ilm va intizom · Amaliyot,Q3,History Box,Apollo 11 — jamoaviy buyuk maqsad,Real tarixiy voqeadan bugun uchun amaliy saboq beradi.,Universitet/muzey materiallari,08:00,"Vintage-toned minimal motiv (xarita, ustun, qadimiy hujjat), sepia aksent",O'rta,1–2 daq,Tarix takrorlanmasligi uchun bugun nima qilasan?
259,16-Sentabr,37,Ilm va intizom,Ilm va intizom · Amaliyot,Q3,Money Box,Avtomatlashtirilgan jamg'arma,Pulni boshqarishda xotirjam nazorat va sog'lom mentalitet beradi.,The Psychology of Money (Housel),07:30,"Minimal tanga/banka yoki o'sish-egri chizig'i, vazmin tilla aksent",O'rta,1 daq,Bugun bitta keraksiz xarajatni jamg'armaga yo'naltir.
260,17-Sentabr,38,Ilm va intizom,Ilm va intizom · Amaliyot,Q3,English Box,So'z: 'leverage' (fe'l va ot),Har kuni bitta tabiiy ibora bilan ingliz tilini amaliy o'stiradi.,Oxford / Cambridge lug'ati,07:00,"Toza tipografik karta — so'z katta yozilgan, ikki tilli minimal layout",Boshlang'ich,<1 daq,Bugun shu iborani bitta jumlada ishlat.
261,18-Sentabr,38,Ilm va intizom,Ilm va intizom · Amaliyot,Q3,Mind Box,Social proof — ijtimoiy dalil,"O'z xulqini tushunib, ongli qaror qabul qilishga yordam beradi.",Kahneman / Cialdini,07:00,"Abstrakt miya yoki ikki-yo'l silueti, vazmin premium palitra",O'rta,1 daq,Bugun shu his kelganda nomini ayt va bir nafas ol.
262,19-Sentabr,38,Ilm va intizom,Ilm va intizom · Amaliyot,Q3,Productivity,Tongi rejim (morning routine),Ko'p emas — muhim ishni fokus bilan bajarish yo'lini beradi.,Cal Newport — Deep Work,07:30,"Minimal fokus/soat yoki bitta-vazifa motivi, tinchlantiruvchi",O'rta,1 daq,Bugun eng muhim bitta ishni birinchi qil.
263,20-Sentabr,38,Ilm va intizom,Ilm va intizom · Amaliyot,Q3,Business Box,Operatsion samaradorlik,Biznes qurish va o'stirishning barqaror tamoyilini beradi.,Harvard Business Review,07:30,"Toza geometrik framework diagrammasi yoki yuqoriga yo'l, korporativ-minimal",Murakkab,1–2 daq,Bugun so'ra: kim sening haqiqiy mijozing?
264,21-Sentabr,38,Ilm va intizom,Ilm va intizom · Amaliyot,Q3,Interesting Facts,Kitlarda madaniyat va lahjalar,Tasdiqlangan qiziq fakt bilan dunyoga yangi nazar beradi.,Ilmiy jurnallar,08:00,"Faktning predmeti — bitta jasur, minimal vizual",Boshlang'ich,<1 daq,Buni bilarmidingiz? Yana qiziq faktni izohda yozing.
265,22-Sentabr,38,Ilm va intizom,Ilm va intizom · Mahorat,Q3,Marketing Box,Differensiatsiya — farqlanish,Odamlar nega xarid qilishini — diqqat va ishontirish psixologiyasini ochadi.,Cialdini — Influence,07:30,"Magnit, ko'z yoki voronka motivi; jasur, lekin toza bitta aksent rang",O'rta,1 daq,Bugun taklifingni mijoz ehtiyoji tilida qayta yoz.
266,23-Sentabr,38,Ilm va intizom,Ilm va intizom · Mahorat,Q3,Arabic Box,So'z: نور (nur) — nur,Har kuni bitta arabcha so'z bilan til va ma'no eshigini ochadi.,Ishonchli arab lug'atlari,07:00,"So'zning nafis arab kalligrafiyasi, sokin fon",Boshlang'ich,<1 daq,Bugun shu so'zni ovoz chiqarib 3 marta takrorla.
267,24-Sentabr,39,Ilm va intizom,Ilm va intizom · Mahorat,Q3,Mental Models,Hanlon ustarasi,Hayotning ko'p sohasida ishlaydigan qayta-qo'llanadigan tafakkur vositasi beradi.,Farnam Street,07:30,"Minimal panjara/linza/tishli g'ildirak motivi, intellektual-premium",Murakkab,1 daq,Bugungi bitta qarorni shu model orqali ko'rib chiq.
268,25-Sentabr,39,Ilm va intizom,Ilm va intizom · Mahorat,Q3,Communication Box,Yozma muloqot aniqligi,"Gapirish, tinglash va ishontirishni yaxshilab, tushunilishni oson qiladi.",Communication tadqiqotlari,08:00,"Gap-bulutchasi yoki ovoz-to'lqini minimal motivi, iliq lekin toza",O'rta,1 daq,"Bugungi suhbatda kamroq gapir, ko'proq tingla."
269,26-Sentabr,39,Ilm va intizom,Ilm va intizom · Mahorat,Q3,AI Box,Fact-check: AI'ga ko'r-ko'rona ishonmaslik,"AI'ni amaliy va tushunarli qilib, bugun foydalanish yo'lini ko'rsatadi.",Rasmiy model hujjatlari (Anthropic/OpenAI/Google),08:00,"Minimal neyron/uchqun motivi, sovuq premium palitra (robot klishesiz)",O'rta,1 daq,Bugun bitta takroriy ishni AI'ga top va vaqtingni o'lcha.
270,27-Sentabr,39,Ilm va intizom,Ilm va intizom · Mahorat,Q3,Critical Thinking,Occam ustarasi,"Fikrlashni o'tkirlashtirib, yomon dalillardan himoya qiladi.",Mantiq / critical thinking darsliklari,07:30,"Lupa yoki shoxlanuvchi-savol motivi, toza intellektual uslub",Murakkab,1 daq,Bugun bir fikringga 'qaerdan bilaman?' deb savol ber.
271,28-Sentabr,39,Ilm va intizom,Ilm va intizom · Mahorat,Q3,Technology Box,Kelajak ko'nikmalari (future skills),Hayot va karyera uchun muhim texnologiya hamda ko'nikmani tushuntiradi.,Rasmiy mahsulot hujjatlari,08:00,"Toza kontur uslubidagi mikrosxema/qurilma, vazmin va zamonaviy",O'rta,1 daq,Bugun shu vositani 10 daqiqa sinab ko'r.
272,29-Sentabr,39,Ilm va intizom,Ilm va intizom · Mustahkamlash,Q3,History Box,Berlin devorining qulashi,Real tarixiy voqeadan bugun uchun amaliy saboq beradi.,E'tiborli tarixchilar,08:00,"Vintage-toned minimal motiv (xarita, ustun, qadimiy hujjat), sepia aksent",O'rta,1–2 daq,Shu voqeadan bitta xulosani yozib qo'y.
273,30-Sentabr,39,Ilm va intizom,Ilm va intizom · Mustahkamlash,Q3,Success Stories,Abraham Lincoln — mag'lubiyatlar zanjiri,Real hikoyadan qiyinchilikni yengish va amaliy saboq beradi (mif emas).,Tekshirilgan biografiyalar,08:00,"Minimal portret silueti yoki cho'qqi motivi, iliq va ilhomli premium",O'rta,1–2 daq,Shu hikoyadan bitta saboq olib bugun qo'lla.
274,1-Oktabr,40,Muloqot va munosabat,Muloqot va munosabat · Asoslar,Q4,Leadership Box 🎯 Mavsumiy,Ustozlar kuni: bilim uzatish kuchi,Ustoz — kelajakni shakllantiradigan eng kuchli lider.,Tasdiqlangan liderlik hikoyalari,07:30,"Minimal kompas, mayoq yoki guruh oldidagi siluet; kuchli va sokin",O'rta,1–2 daq,Bugun bir ustozingga rahmat ayt yoki kimgadir bir narsa o'rgat.
275,2-Oktabr,40,Muloqot va munosabat,Muloqot va munosabat · Asoslar,Q4,Decision Making,Kichik tajriba (test) qilib ko'rish,Noaniqlikda yaxshiroq va aniqroq qaror qabul qilishga yordam beradi.,Kahneman,07:30,"Minimal chorraha/ayri yo'l yoki tarozi motivi, aniq va muvozanatli",Murakkab,1 daq,Bugungi qarorni 'eng yomon holatda nima bo'ladi?' bilan ko'r.
276,3-Oktabr,40,Muloqot va munosabat,Muloqot va munosabat · Asoslar,Q4,Islamic Wisdom,Tavoze — kamtarlik,"Hayotga ma'no, axloq va ichki muvozanat baxsh etadi.",Qur'on va sahih hadis (to'g'ri nisbat),07:00,"Minimal geometrik/arabeska naqsh, sokin yer ranglari (tasvirsiz)",Boshlang'ich,1 daq,Bugun shu amalni bir marta niyat bilan bajar.
277,4-Oktabr,40,Muloqot va munosabat,Muloqot va munosabat · Asoslar,Q4,Life Lessons,Munosabatlar — haqiqiy boylik,Hayotni yaxshiroq yashashga yordam beradigan asosli donolik beradi.,Stoik falsafa,08:00,"Minimal tabiat/yo'l/ufq motivi, yumshoq mushohadali ranglar",Boshlang'ich,1 daq,Bugun shu fikr bilan bir lahza to'xtab o'yla.
278,5-Oktabr,40,Muloqot va munosabat,Muloqot va munosabat · Asoslar,Q4,Book Box,Start With Why — 'nega' dan boshlash,Yillar davomida shakllangan kitob g'oyasini 1 daqiqada o'zlashtiradi.,Asl kitob + muallif intervyulari,07:00,"Minimal ochiq kitob yoki kitob qirrasi, sokin gradient, bitta g'oya-ibora",O'rta,1–2 daq,Bugun shu g'oyani bitta qaroringda sinab ko'r.
